"ticker","st","ed","min_daily_return_val","min_daily_return_date","ret_1","ret_5","ret_10","ret_20","ret_50","ret_100","ret_200"
"ORBTEXP",2016-01-01,2025-03-11,-0.193018061117924,2019-03-15,0.14503829781804,0.0554704256624623,0.10788787241079,0.170482978924769,0.171500638562814,0.0162846809791222,-0.143511276668371
"ORIENTALTL",2016-01-01,2025-03-11,-0.194857890445763,2022-09-15,0.063924736247174,0.00456857573473979,-0.0228311039939715,-0.123280896759608,-0.246573568198945,-0.310498304446119,-0.429222400150716
"ORIENTBELL",2016-01-01,2025-03-11,-0.199475065616798,2020-03-23,-0.0676571902884415,-0.0882838763228886,-0.0321726499273709,0.0973645984644114,0.0387798298402153,0.379539323511101,2.19472919692882
"ORISSAMINE",2016-01-01,2025-03-11,-0.199997294042835,2023-10-23,-0.0664733041316442,0.118165367247882,0.115586260548969,0.196671683945272,0.219985117285934,-0.0252667895618066,0.282746198988651
"ORTINGLOBE",2016-01-01,2025-03-11,-0.519999752257937,2021-01-12,0,0,0,-0.154838709677419,-0.12741935483871,-0.00806451612903247,0.0629032258064519
"OSWALGREEN",2016-01-01,2025-03-11,-0.198697751850527,2016-03-30,-0.130081859195316,-0.105691510596194,0.0304900820308978,0.00609973343177583,0.0162602323994141,0.0894312781967792,0.184957997261344
"PAISALO",2016-01-01,2025-03-11,-0.2,2020-01-27,-0.100496059224939,-0.256207035479566,-0.292492382846927,-0.160205726084658,-0.458747765215421,-0.325680507642334,0.291038199078386
"PANACEABIO",2016-01-01,2025-03-11,-0.198856710171036,2016-08-16,0.032399954300433,0.0519313260144785,0.0404960480260903,0.0571711968093387,0.254406373012328,0.209625990590043,0.445929103353724
"PANAMAPET",2016-01-01,2025-03-11,-0.193164515061238,2020-03-23,0.0976225153336479,0.00184619171675315,0.276251820550165,0.425424111263821,0.565385956635009,0.570904018543971,2.7816365463907
"PATANJALI",2016-01-01,2025-03-11,-0.94671657718294,2020-01-28,0.047632613526295,0.266110193151387,0.764714261295653,2.00282035211669,11.910403965586,80.0814483505215,28.9776650903083
"PATINTLOG",2016-01-01,2025-03-11,-0.408274078380514,2021-10-28,-0.00911959390095662,-0.0577469312692485,-0.0516693013559728,-0.103344900774032,0.0729504531455671,-0.145894608229048,-0.0329829511459331
"PFC",2016-01-01,2025-03-11,-0.230804211477833,2024-06-04,0.0478041884955442,0.139895462202277,0.169888972237641,0.244405566198241,0.187258959221589,0.0673138168818552,NA
"PFOCUS",2016-01-01,2025-03-11,-0.199642431466031,2019-11-15,-0.199553239017126,-0.325390915860015,-0.268801191362621,-0.347728965003723,-0.359642591213701,-0.607594936708861,-0.404318689501117
"PNCINFRA",2016-01-01,2025-03-11,-0.200001609541361,2020-03-23,-0.133496635045822,-0.142997978009597,-0.0120011669198345,0.240999124810124,0.235501524037543,0.469504159666824,0.912501131711047
"POLYPLEX",2016-01-01,2025-03-11,-0.196174228947024,2020-03-23,0.0142760296423305,0.0197134077730745,0.341434265732636,0.395139440560418,0.496429827769766,1.57579597950849,1.599979965102
"PREMIER",2016-01-01,2025-03-11,-0.406779661016949,2020-07-02,0.0285714285714287,0.0857142857142861,0.0571428571428576,0.0285714285714294,1.34285714285715,0.428571428571432,0.171428571428575
"PREMIERPOL",2016-01-01,2025-03-11,-0.288812244018107,2016-06-02,0.425436469447139,0.364664161008729,0.102206595538312,0.375697138700291,0.273490543161978,1.10423739088264,0.575351600387972
"PRESTIGE",2016-01-01,2025-03-11,-0.199928398753849,2020-03-12,0.121507830685439,-0.287061854505187,-0.151499468914552,-0.220174467219598,-0.300036159009243,0.00710524531627854,0.193674433320527
"PRSMJOHNSN",2016-01-01,2025-03-11,-0.196,2020-03-23,-0.0862354892205638,0.0199004975124377,0.106135986733002,0.213930348258707,0.431177446102819,0.65339966832504,1.8955223880597
"PTL",2016-01-01,2025-03-11,-0.628129415001334,2017-03-27,-0.0496006140975436,-0.162975035599857,-0.131090913136347,-0.206379049483802,-0.201945754716981,-0.273206657173371,0.078820309718761
"RADAAN",2016-01-01,2025-03-11,-0.423076923076923,2020-09-08,0,0,0.04,0.04,0.266666666666666,0.266666666666666,1
"RADICO",2016-01-01,2025-03-11,-0.199243692993401,2020-03-23,0.00184773574254193,0.0765758352827954,0.193799773772152,0.172039404474978,0.40997860626147,0.609321587261247,1.09230554508204
"RAJRILTD",2016-01-01,2025-03-11,-0.958571428571429,2022-03-21,0.0344827586206897,0.172413793103448,0.448275862068966,1.17241379310345,5.44827586206897,6.65517241379311,26.4827586206896
"RALLIS",2016-01-01,2025-03-11,-0.199892996472051,2020-03-23,0.00367351324147069,0.0948560918682257,0.336338870817023,0.398463443701307,0.604875728234946,0.994333162274991,1.00040219915998
"RAMASTEEL",2016-01-01,2025-03-11,-0.19961417402782,2019-07-22,-0.025624762146391,-0.0197894202714702,-0.148674362552328,-0.0693898262082961,-0.0660915894963848,-0.302296080172523,-0.60865152860586
